# k_1_per_A S_k
1.000000000000000056e-01 -7.742683189060557414e-01
1.397993311036789255e-01 -6.949804119586413531e-01
1.795986622073578731e-01 -5.965096332482806574e-01
2.193979933110368208e-01 -4.843291132655263009e-01
2.591973244147157684e-01 -3.645548731649435048e-01
2.989966555183947161e-01 -2.435444147138994264e-01
3.387959866220736083e-01 -1.274853103698037060e-01
3.785953177257525004e-01 -2.200287618955987234e-02
4.183946488294314481e-01 6.818566797221392584e-02
4.581939799331103957e-01 1.395468396127138577e-01
4.979933110367893434e-01 1.899180409813667758e-01
5.377926421404682911e-01 2.185946359240678039e-01
5.775919732441472387e-01 2.263128820530493357e-01
6.173913043478260754e-01 2.151323574423217311e-01
6.571906354515050230e-01 1.882288595636010253e-01
6.969899665551839707e-01 1.496151659491957719e-01
7.367892976588629184e-01 1.038120549531550418e-01
7.765886287625418660e-01 5.549522680494456406e-02
8.163879598662208137e-01 9.145014952095964489e-03
8.561872909698997614e-01 -3.127503402236242458e-02
8.959866220735787090e-01 -6.258741682236590442e-02
9.357859531772575457e-01 -8.259898466127713057e-02
9.755852842809364933e-01 -9.021539946634660190e-02
1.015384615384615552e+00 -8.546558210495192043e-02
1.055183946488294389e+00 -6.943710552955129067e-02
1.094983277591973447e+00 -4.413038374858624380e-02
1.134782608695652284e+00 -1.224566378054636751e-02
1.174581939799331343e+00 2.307822727534825091e-02
1.214381270903010179e+00 5.855106327251013987e-02
1.254180602006689238e+00 9.102046779989991787e-02
1.293979933110368075e+00 1.177397427379185402e-01
1.333779264214047133e+00 1.365930200352843960e-01
1.373578595317725970e+00 1.462603679793321731e-01
1.413377926421404807e+00 1.463106965187950248e-01
1.453177257525083865e+00 1.372164130982802543e-01
1.492976588628762702e+00 1.202902832854713111e-01
1.532775919732441761e+00 9.755132560749701920e-02
1.572575250836120597e+00 7.153230953582412344e-02
1.612374581939799656e+00 4.504607720165487716e-02
1.652173913043478493e+00 2.093111179593709625e-02
1.691973244147157551e+00 1.798285925340481484e-03
1.731772575250836388e+00 -1.019956460047777291e-02
1.771571906354515225e+00 -1.355564414649901295e-02
1.811371237458194283e+00 -7.538811248014587463e-03
1.851170568561873120e+00 7.746251602141374093e-03
1.890969899665552179e+00 3.137357607703550322e-02
1.930769230769231015e+00 6.168421570092330608e-02
1.970568561872910074e+00 9.644126975223721310e-02
2.010367892976588688e+00 1.330390300824633165e-01
2.050167224080267747e+00 1.687491322376201142e-01
2.089966555183946806e+00 2.009834386047931742e-01
2.129765886287625865e+00 2.275518462372030370e-01
2.169565217391304479e+00 2.468934138632914443e-01
2.209364548494983538e+00 2.582611227374026486e-01
2.249163879598662596e+00 2.618440713428252797e-01
2.288963210702341655e+00 2.588156798931291469e-01
2.328762541806020270e+00 2.513021732774944894e-01
2.368561872909699328e+00 2.422717773862801405e-01
2.408361204013378387e+00 2.353512260520933541e-01
2.448160535117057002e+00 2.345818594297693904e-01
2.487959866220736060e+00 2.441323643235028262e-01
2.527759197324415119e+00 2.679887002958316611e-01
2.567558528428094178e+00 3.096437098613783467e-01
2.607357859531772792e+00 3.718091833212936459e-01
