# r_A g_r
3.306600000000000428e+00 5.895574573426667353e-01
3.346200000000000507e+00 5.928596162901995648e-01
3.385800000000000143e+00 6.087794167821041214e-01
3.425400000000000222e+00 6.201669061831890373e-01
3.465000000000000302e+00 6.385771603069237967e-01
3.504600000000000382e+00 6.605458774827491775e-01
3.544200000000000461e+00 6.912025380652918605e-01
3.583800000000000097e+00 7.130511508761269157e-01
3.623400000000000176e+00 7.388661625924162202e-01
3.663000000000000256e+00 7.743559454173830625e-01
3.702600000000000335e+00 8.103929762054016273e-01
3.742200000000000415e+00 8.483200007498310491e-01
3.781800000000000495e+00 8.902513060794990940e-01
3.821400000000000574e+00 9.253445272509854824e-01
3.861000000000000210e+00 9.752859150545741818e-01
3.900600000000000289e+00 1.015424084788676407e+00
3.940200000000000369e+00 1.045277764844613877e+00
3.979800000000000448e+00 1.073830670756610761e+00
4.019400000000000084e+00 1.125648937121959126e+00
4.059000000000000163e+00 1.148943241407435423e+00
4.098600000000000243e+00 1.178451366911996034e+00
4.138200000000000323e+00 1.211717508604990723e+00
4.177800000000000402e+00 1.234398073767963400e+00
4.217400000000000482e+00 1.249741203620162722e+00
4.257000000000000561e+00 1.259634551197878150e+00
4.296600000000000641e+00 1.263567203449576404e+00
4.336200000000000720e+00 1.270277447579978514e+00
4.375799999999999912e+00 1.280319163616732592e+00
4.415399999999999991e+00 1.271994629469179738e+00
4.455000000000000071e+00 1.252689525300904050e+00
4.494600000000000151e+00 1.246016451585246321e+00
4.534200000000000230e+00 1.228758539778225245e+00
4.573800000000000310e+00 1.204134252219676959e+00
4.613400000000000389e+00 1.179986350220910918e+00
4.653000000000000469e+00 1.152937922432264672e+00
4.692600000000000549e+00 1.119363427728248928e+00
4.732200000000000628e+00 1.090446186185766608e+00
4.771800000000000708e+00 1.059132687257995364e+00
4.811400000000000787e+00 1.026588499583114045e+00
4.851000000000000867e+00 1.002002703235999270e+00
4.890600000000000058e+00 9.755777678022657939e-01
4.930200000000000138e+00 9.518244771800505877e-01
4.969800000000000217e+00 9.267947083158576405e-01
5.009400000000000297e+00 9.104447452358094273e-01
5.049000000000000377e+00 8.963218932250036630e-01
5.088600000000000456e+00 8.685835372595451798e-01
5.128200000000000536e+00 8.621183905130099800e-01
5.167800000000000615e+00 8.485809420330732156e-01
5.207400000000000695e+00 8.514822032201482260e-01
5.247000000000000774e+00 8.380921299356829390e-01
5.286599999999999966e+00 8.367075324320608631e-01
5.326200000000000045e+00 8.361781704381489044e-01
5.365800000000000125e+00 8.444782614613127736e-01
5.405400000000000205e+00 8.443278676129225557e-01
5.445000000000000284e+00 8.510931449095354706e-01
5.484600000000000364e+00 8.556912769684230646e-01
5.524200000000000443e+00 8.726587763318388591e-01
5.563800000000000523e+00 8.863537510082355464e-01
5.603400000000000603e+00 9.008812113407318467e-01
5.643000000000000682e+00 9.133129043793687396e-01
5.682600000000000762e+00 9.336161713745034785e-01
5.722200000000000841e+00 9.486509343211398937e-01
5.761800000000000921e+00 9.619115524090995351e-01
5.801400000000000112e+00 9.735828371447418084e-01
5.841000000000000192e+00 1.000672686682799073e+00
5.880600000000000271e+00 1.014274871014472001e+00
5.920200000000000351e+00 1.024861950705313385e+00
5.959800000000000431e+00 1.045035009367906387e+00
5.999400000000000510e+00 1.051273888201581297e+00
6.039000000000000590e+00 1.068797619558864209e+00
6.078600000000000669e+00 1.078472125317021080e+00
6.118200000000000749e+00 1.083264403633640738e+00
6.157800000000000828e+00 1.091581911239724478e+00
6.197400000000000908e+00 1.094967058232905410e+00
6.237000000000000099e+00 1.094826940751165711e+00
6.276600000000000179e+00 1.099849515742490569e+00
6.316200000000000259e+00 1.103316082695165345e+00
6.355800000000000338e+00 1.098688263972332990e+00
6.395400000000000418e+00 1.095348087667123771e+00
6.435000000000000497e+00 1.085804473715828555e+00
6.474600000000000577e+00 1.083266346890448872e+00
6.514200000000000657e+00 1.072304106225931308e+00
6.553800000000000736e+00 1.067780387097586159e+00
6.593400000000000816e+00 1.061231475379893041e+00
6.633000000000000895e+00 1.054554245702419291e+00
6.672600000000000975e+00 1.046706736103095281e+00
6.712200000000000166e+00 1.026049989676496965e+00
6.751800000000000246e+00 1.028597966003868880e+00
6.791400000000000325e+00 1.015266819354775141e+00
6.831000000000000405e+00 1.005417328056179560e+00
6.870600000000000485e+00 9.950340198742774200e-01
6.910200000000000564e+00 9.849407162451078168e-01
6.949800000000000644e+00 9.803205425043510779e-01
6.989400000000000723e+00 9.703682137676588049e-01
