# r_A g_r
3.870281250000000561e+00 1.029857752510881241e-01
3.925968750000000895e+00 2.892336514038246903e-02
3.981656250000000785e+00 7.505912788376786597e-03
4.037343750000000675e+00 1.375415284029516110e-03
4.093031250000001009e+00 3.088254503649181409e-04
4.148718750000000455e+00 1.001968253222155185e-04
4.204406249999999901e+00 0.000000000000000000e+00
4.260093750000001123e+00 0.000000000000000000e+00
4.315781250000000568e+00 1.388846858883562366e-04
4.371468750000000014e+00 6.317208825043429347e-04
4.427156250000001236e+00 2.331729265176630921e-03
4.482843750000000682e+00 1.021225633881571969e-02
4.538531250000000128e+00 2.909417845402654038e-02
4.594218750000001350e+00 8.031785982574363159e-02
4.649906250000000796e+00 1.938205535199458152e-01
4.705593750000000242e+00 4.002503373772118289e-01
4.761281250000000576e+00 7.114027761371874981e-01
4.816968750000000909e+00 1.095734733270093297e+00
4.872656250000000355e+00 1.444833940083622981e+00
4.928343750000000689e+00 1.648382545275799194e+00
4.984031250000001023e+00 1.605851778497310534e+00
5.039718750000000469e+00 1.334539241526908615e+00
5.095406250000000803e+00 9.553084146540319344e-01
5.151093750000001137e+00 5.819693751273496973e-01
5.206781250000000583e+00 3.036548429621636624e-01
5.262468750000000028e+00 1.407691217981275333e-01
5.318156250000001251e+00 5.500045740299367575e-02
5.373843750000000696e+00 1.791567332528529524e-02
5.429531250000000142e+00 6.142519934062938038e-03
5.485218750000001364e+00 1.920166342492203929e-03
5.540906250000000810e+00 2.218796340992677113e-03
5.596593750000000256e+00 1.109454341165241366e-02
5.652281250000001478e+00 4.485753928683389874e-02
5.707968750000000924e+00 1.495595286370914878e-01
5.763656250000000369e+00 4.159621840256547687e-01
5.819343750000000703e+00 9.517436546322041169e-01
5.875031250000001037e+00 1.852958643408220585e+00
5.930718750000000483e+00 2.997510822469318104e+00
5.986406250000000817e+00 4.049016115089065337e+00
6.042093750000001151e+00 4.611491208073282166e+00
6.097781250000000597e+00 4.449681530813784924e+00
6.153468750000000931e+00 3.595492009995284732e+00
6.209156250000001265e+00 2.477137522627284483e+00
6.264843750000000711e+00 1.462218095275205076e+00
6.320531250000001044e+00 7.414323472890186340e-01
6.376218750000001378e+00 3.222323033546313220e-01
6.431906250000000824e+00 1.191836533528147640e-01
6.487593750000000270e+00 3.845465621509566723e-02
6.543281250000001492e+00 1.427930313042789258e-02
6.598968750000000938e+00 2.031641948113681317e-02
6.654656250000000384e+00 6.441191357277445406e-02
6.710343750000001606e+00 1.783987870560403421e-01
6.766031250000001052e+00 4.122778811580343761e-01
6.821718750000000497e+00 7.711803851242523544e-01
6.877406250000000831e+00 1.204062737134311556e+00
6.933093750000001165e+00 1.567669749454143169e+00
6.988781250000000611e+00 1.721253223448567793e+00
