# time_fs temperature_K pressure_eV_per_A3 total_energy_eV
0.000000000000000000e+00 6.278261877944767548e+03 1.586760755968643910e-01 -1.271675222062416992e+02
1.000000000000000000e+00 6.299310836609312901e+03 1.509549256467594969e-01 -1.281233901492977054e+02
2.000000000000000000e+00 6.309196897829355294e+03 1.612923175918595520e-01 -1.291013334005771185e+02
3.000000000000000000e+00 6.306956064712480838e+03 1.638635092360094525e-01 -1.300860836670446758e+02
4.000000000000000000e+00 6.292660236109864854e+03 1.662371154359195691e-01 -1.310891264427314411e+02
5.000000000000000000e+00 6.267063954514776924e+03 1.728407700996203999e-01 -1.320156120473643284e+02
6.000000000000000000e+00 6.231465116423154541e+03 1.802632814008232054e-01 -1.328860773915507991e+02
7.000000000000000000e+00 6.187711811434824085e+03 1.699987472745766448e-01 -1.336264714626285297e+02
8.000000000000000000e+00 6.138325942392063553e+03 1.758344546080450321e-01 -1.340941580167943528e+02
9.000000000000000000e+00 6.086297640797715758e+03 1.802128439573295327e-01 -1.344316736357734214e+02
1.000000000000000000e+01 6.034795055247195705e+03 1.538551946189514186e-01 -1.346440431635383277e+02
1.100000000000000000e+01 5.986700818654974682e+03 1.584340584316442646e-01 -1.346984682506448792e+02
1.200000000000000000e+01 5.944216325862301346e+03 1.641542110977103064e-01 -1.345026155005960220e+02
1.300000000000000000e+01 5.908762557471672153e+03 1.751318102524319353e-01 -1.342418784029431720e+02
1.400000000000000000e+01 5.880880806361738905e+03 1.859313644833015533e-01 -1.338889575393754967e+02
1.500000000000000000e+01 5.860352084262513017e+03 1.992351690101833717e-01 -1.334288592988904441e+02
1.600000000000000000e+01 5.846334686378011611e+03 1.979033675407517734e-01 -1.329765953719804941e+02
1.700000000000000000e+01 5.837702964549910575e+03 2.003803393973966340e-01 -1.324398549385511501e+02
1.800000000000000000e+01 5.833540774801750558e+03 2.008996641511404668e-01 -1.319267359964434547e+02
1.900000000000000000e+01 5.833307680092863848e+03 1.997830124901250337e-01 -1.313830493611907571e+02
2.000000000000000000e+01 5.836689868014724198e+03 2.085110236033027864e-01 -1.307973053964937549e+02
2.100000000000000000e+01 5.843343507410452730e+03 2.163569724704328956e-01 -1.302409613544599551e+02
