# r_A g_r
4.249884375000000603e+00 3.877200660571613611e-01
4.290553125000000634e+00 1.200197370220406734e+00
4.331221875000000665e+00 2.792121599590239978e+00
4.371890625000000696e+00 4.738493451999064021e+00
4.412559375000000728e+00 6.013069163163281772e+00
4.453228125000000759e+00 5.648625302536529169e+00
4.493896875000000790e+00 4.008814069325151941e+00
4.534565625000000821e+00 2.158132398838445987e+00
4.575234374999999964e+00 8.847567412640349183e-01
4.615903124999999996e+00 2.779022262400618337e-01
4.656571875000000027e+00 6.986330594682792217e-02
4.697240625000000058e+00 1.175578532546127895e-02
4.737909375000000090e+00 1.925805905284493904e-03
4.778578125000000121e+00 3.021009124914225078e-04
4.819246875000000152e+00 6.534520885745763886e-04
4.859915625000000183e+00 6.191955416004320256e-03
4.900584375000000215e+00 4.025271043278201566e-02
4.941253125000000246e+00 1.731762993131839568e-01
4.981921875000000277e+00 5.295182937046966076e-01
5.022590625000000308e+00 1.170463614938592301e+00
5.063259375000000340e+00 1.889602730993057644e+00
5.103928125000000371e+00 2.266998786398225274e+00
5.144596875000000402e+00 2.034686576993136597e+00
5.185265625000000433e+00 1.382386914403106681e+00
5.225934375000000465e+00 7.187789783711988623e-01
5.266603125000000496e+00 2.854660421852161512e-01
5.307271875000000527e+00 8.746557070923699495e-02
5.347940625000000558e+00 2.183658776599931711e-02
5.388609375000000590e+00 5.289945789525251491e-03
5.429278125000000621e+00 7.254824863057457093e-03
5.469946875000000652e+00 3.619785649862761190e-02
5.510615625000000684e+00 1.432982426776231444e-01
5.551284375000000715e+00 4.472727525359582179e-01
5.591953125000000746e+00 1.080276031725020403e+00
5.632621875000000777e+00 2.042854025374513771e+00
5.673290625000000809e+00 2.988907033281703374e+00
5.713959375000000840e+00 3.390752084905880093e+00
5.754628125000000871e+00 2.998530408938577807e+00
5.795296875000000902e+00 2.070817673939062686e+00
5.835965625000000934e+00 1.108143427489044264e+00
5.876634375000000077e+00 4.654098502686743188e-01
5.917303125000000108e+00 1.525824253691697441e-01
5.957971875000000139e+00 3.882826676943579997e-02
5.998640625000000171e+00 1.022450890653723785e-02
6.039309375000000202e+00 1.803099285866105808e-02
6.079978125000000233e+00 6.334940218251788879e-02
6.120646875000000264e+00 1.934604380822634861e-01
6.161315625000000296e+00 4.357885650159291635e-01
6.201984375000000327e+00 7.476752991486269595e-01
6.242653125000000358e+00 9.666928110634781524e-01
6.283321875000000389e+00 9.432929530662729212e-01
6.323990625000000421e+00 7.025222240869872792e-01
6.364659375000000452e+00 3.939124919076303910e-01
6.405328125000000483e+00 1.746396483833970725e-01
6.445996875000000514e+00 5.842915964178936605e-02
6.486665625000000546e+00 2.595844961514704591e-02
6.527334375000000577e+00 6.000440197494940481e-02
6.568003125000000608e+00 2.406684809877398523e-01
6.608671875000000639e+00 7.535818955677960895e-01
6.649340625000000671e+00 1.809351453518655006e+00
6.690009375000000702e+00 3.304459930052860539e+00
6.730678125000000733e+00 4.608656773909995508e+00
6.771346875000000765e+00 4.922162577048386112e+00
6.812015625000000796e+00 4.064877729113820948e+00
6.852684375000000827e+00 2.570110738059016242e+00
6.893353125000000858e+00 1.260196037445168837e+00
