# time_fs temperature_K pressure_eV_per_A3 total_energy_eV
6.500000000000000000e+01 4.006720387711385229e+03 1.226820889982535717e-01 -2.508475036234525533e+02
6.600000000000000000e+01 4.009276441102292665e+03 1.227585380399559001e-01 -2.508474964206557161e+02
6.700000000000000000e+01 4.013352085720477589e+03 1.222275744797546582e-01 -2.508315094482728966e+02
6.800000000000000000e+01 4.018945421670208816e+03 1.243538860845348620e-01 -2.508394967263829756e+02
6.900000000000000000e+01 4.025927422808054416e+03 1.197847696964728648e-01 -2.508514908281743772e+02
7.000000000000000000e+01 4.033990662114329552e+03 1.079139729936708925e-01 -2.508514985743647969e+02
7.100000000000000000e+01 4.042621510905835294e+03 1.131942990170193841e-01 -2.509034864689299411e+02
7.200000000000000000e+01 4.051085814552266129e+03 1.160121711990345778e-01 -2.509274823718459118e+02
7.300000000000000000e+01 4.058625943340530284e+03 1.211037445250460615e-01 -2.509394992518356560e+02
7.400000000000000000e+01 4.064581269926833102e+03 1.218624822888708520e-01 -2.509195079553946925e+02
7.500000000000000000e+01 4.068622492157579018e+03 1.127619708778643814e-01 -2.509395257618970447e+02
7.600000000000000000e+01 4.070761242322846556e+03 1.140291441631639119e-01 -2.509115496464514763e+02
7.700000000000000000e+01 4.071342984003870242e+03 1.151375582691656907e-01 -2.508875564452190474e+02
7.800000000000000000e+01 4.070863918720003767e+03 1.100289655728610705e-01 -2.508955676813523610e+02
7.900000000000000000e+01 4.069684433210771203e+03 1.142159798814717242e-01 -2.509115668246192286e+02
8.000000000000000000e+01 4.067875947438233652e+03 1.173224219233853505e-01 -2.509036039860126266e+02
8.100000000000000000e+01 4.065212651756912237e+03 1.202905263193353724e-01 -2.508756378234225224e+02
8.200000000000000000e+01 4.061372367246321573e+03 1.243773675778355875e-01 -2.508636532832635737e+02
8.300000000000000000e+01 4.056173124117428415e+03 1.163637391169893565e-01 -2.508596434278416893e+02
8.400000000000000000e+01 4.049877045824118341e+03 1.032712965672228783e-01 -2.508556206179377455e+02
8.500000000000000000e+01 4.043250267977693966e+03 1.042174272040480576e-01 -2.508835699468225187e+02
8.600000000000000000e+01 4.037414719664378481e+03 1.064820807320489421e-01 -2.508595663498672650e+02
8.700000000000000000e+01 4.033440475415629862e+03 1.104897905786733220e-01 -2.508555573410001216e+02
8.800000000000000000e+01 4.032025908320093095e+03 1.135372536507090468e-01 -2.508435643254363470e+02
8.900000000000000000e+01 4.033256497603753814e+03 1.168243285523978964e-01 -2.508355920605189340e+02
9.000000000000000000e+01 4.036739016217139579e+03 1.193882345546771750e-01 -2.508236026516879633e+02
9.100000000000000000e+01 4.041923702287059768e+03 1.209314419817938413e-01 -2.508515864814257839e+02
9.200000000000000000e+01 4.048386320072224407e+03 1.289898836719949038e-01 -2.508076210846703304e+02
9.300000000000000000e+01 4.055971875164224912e+03 1.375213342268048755e-01 -2.507876219345436652e+02
9.400000000000000000e+01 4.064663503409974965e+03 1.429789204353720533e-01 -2.507876431569972340e+02
9.500000000000000000e+01 4.074348538069499227e+03 1.406270695857088915e-01 -2.508156138271122870e+02
9.600000000000000000e+01 4.084621382748013275e+03 1.422142119457382725e-01 -2.508196022782683485e+02
9.700000000000000000e+01 4.094696211311718798e+03 1.493584030434547960e-01 -2.508076270426625172e+02
9.800000000000000000e+01 4.103464621503117087e+03 1.497091825080397176e-01 -2.508316371850243343e+02
9.900000000000000000e+01 4.109755602969363281e+03 1.566432516819028509e-01 -2.508596524643829468e+02
1.000000000000000000e+02 4.112558679389780991e+03 1.491196394193775032e-01 -2.508676443258954976e+02
1.010000000000000000e+02 4.111261024170491510e+03 1.566171966185602726e-01 -2.508196507354043376e+02
1.020000000000000000e+02 4.105756990792619035e+03 1.581179167622195625e-01 -2.508556288888960637e+02
1.030000000000000000e+02 4.096533852814324746e+03 1.586199834230135053e-01 -2.508156372296200232e+02
1.040000000000000000e+02 4.084568334668119405e+03 1.468245498869171772e-01 -2.508196089291866144e+02
1.050000000000000000e+02 4.071148915396294797e+03 1.537329378559809112e-01 -2.508555506806323763e+02
1.060000000000000000e+02 4.057750798835160367e+03 1.565573763473458446e-01 -2.508635103038336922e+02
1.070000000000000000e+02 4.045757089066243680e+03 1.582594237023702832e-01 -2.508555064150950500e+02
1.080000000000000000e+02 4.036285668986412475e+03 1.661149966622557372e-01 -2.508075194118062541e+02
1.090000000000000000e+02 4.030051273369750561e+03 1.660115269374558555e-01 -2.508115111261779191e+02
1.100000000000000000e+02 4.027379303703029109e+03 1.647249775121299720e-01 -2.508434925009637197e+02
1.110000000000000000e+02 4.028186605791696365e+03 1.623493208399297560e-01 -2.508914798720286967e+02
1.120000000000000000e+02 4.032093219453413440e+03 1.591970292032432177e-01 -2.509034828039472984e+02
1.130000000000000000e+02 4.038522400421568818e+03 1.553955726134507997e-01 -2.509154787785388976e+02
1.140000000000000000e+02 4.046784332557462676e+03 1.335226816825952623e-01 -2.509155137470252157e+02
1.150000000000000000e+02 4.056189751037183214e+03 1.392387730466191353e-01 -2.509155241956244993e+02
1.160000000000000000e+02 4.066139239461184388e+03 1.318202583182128407e-01 -2.509035398079388131e+02
1.170000000000000000e+02 4.076116438340459354e+03 1.328307178854853110e-01 -2.508595756265353600e+02
1.180000000000000000e+02 4.085664498226869455e+03 1.326515238689412457e-01 -2.507836136752786445e+02
1.190000000000000000e+02 4.094360683625608544e+03 1.298421871112892256e-01 -2.507916300758020327e+02
1.200000000000000000e+02 4.101706293077916598e+03 1.329526917554501031e-01 -2.507836308258107181e+02
1.210000000000000000e+02 4.107134566138685841e+03 1.332981219741456724e-01 -2.508076290313109382e+02
1.220000000000000000e+02 4.109955537557709249e+03 1.346397053188924109e-01 -2.508076480741669343e+02
1.230000000000000000e+02 4.109311360581005829e+03 1.437654957936978228e-01 -2.508116705255874308e+02
1.240000000000000000e+02 4.104261673281575895e+03 1.406401057596659565e-01 -2.508116965128163542e+02
1.250000000000000000e+02 4.093888161807010874e+03 1.384907765015859771e-01 -2.508477111611899488e+02
1.260000000000000000e+02 4.077523902707298021e+03 1.357648870227963211e-01 -2.508637122681701328e+02
1.270000000000000000e+02 4.054907987224440149e+03 1.316069193594600062e-01 -2.508597138964214253e+02
1.280000000000000000e+02 4.026367953747375850e+03 1.358188698047352316e-01 -2.508436928137899713e+02
1.290000000000000000e+02 3.993038351812001565e+03 1.296386487468207394e-01 -2.508556570824198104e+02
1.300000000000000000e+02 3.956792242757404892e+03 1.347467444786113189e-01 -2.508636142447852819e+02
1.310000000000000000e+02 3.920038518259757893e+03 1.298680694384301282e-01 -2.508835719830119899e+02
1.320000000000000000e+02 3.885346771247478046e+03 1.379536423374746190e-01 -2.508395424325732108e+02
1.330000000000000000e+02 3.854990388804626946e+03 1.392366015373260879e-01 -2.508275259749833026e+02
1.340000000000000000e+02 3.830641918563603667e+03 1.518116660056229583e-01 -2.508234976869278512e+02
1.350000000000000000e+02 3.813427245968166062e+03 1.520500443792179301e-01 -2.508474788736530741e+02
1.360000000000000000e+02 3.804180864390737042e+03 1.680486801496559324e-01 -2.508554595244092980e+02
1.370000000000000000e+02 3.803686677684879214e+03 1.705954936397463262e-01 -2.508914193473225396e+02
1.380000000000000000e+02 3.812639735377670604e+03 1.706236803424401316e-01 -2.508993839350171413e+02
1.390000000000000000e+02 3.831173058173720165e+03 1.695792643169719838e-01 -2.509114008816038108e+02
1.400000000000000000e+02 3.858373007847217650e+03 1.636468081393808727e-01 -2.509434247801433742e+02
1.410000000000000000e+02 3.892309973490709581e+03 1.605271450719157611e-01 -2.509714615801756850e+02
1.420000000000000000e+02 3.930549443150433945e+03 1.558162209919282948e-01 -2.509355125007140259e+02
1.430000000000000000e+02 3.970823788237958070e+03 1.505960640097729342e-01 -2.509315439615347998e+02
1.440000000000000000e+02 4.011401541154923052e+03 1.509728565543037859e-01 -2.508955923118486169e+02
1.450000000000000000e+02 4.051076390682101646e+03 1.485303501800194492e-01 -2.509315901140255960e+02
1.460000000000000000e+02 4.088836482115888430e+03 1.436582181046536510e-01 -2.509036237009848662e+02
1.470000000000000000e+02 4.123702928069105837e+03 1.400009238293234426e-01 -2.509236194716575596e+02
1.480000000000000000e+02 4.154600063070184660e+03 1.353644353499489916e-01 -2.509516255169870362e+02
1.490000000000000000e+02 4.180323053611503383e+03 1.334130359150992595e-01 -2.509356637643715544e+02
1.500000000000000000e+02 4.199595111962724332e+03 1.208135526977113794e-01 -2.509236689577809045e+02
