nx,ny,nz,N,pairs,neighbor_build_mean_s,neighbor_build_min_s,force_mean_s,force_min_s,pair_evaluations_per_second,integrator_mean_s,steps_per_second,atom_steps_per_second,simulated_ns_per_day
3,3,3,108,3571,0.021445839997613802,0.020597599999746308,5.9780001174658536e-05,5.8200006606057286e-05,59735696.38392363,0.0782615999924019,6388.829260436063,689993.5601270949,5.519948481016759
4,4,4,256,10001,0.11965509999427013,0.118379499996081,0.00016003999626263977,0.00015819998225197196,62490628.80248682,0.1928394999995362,2592.82978850911,663764.4258583322,2.240204937271871
5,5,5,500,19528,0.4617245199973695,0.45410949998768046,0.0003202599938958883,0.00031809997744858265,60975458.6030132,0.3573660599940922,1399.1255913006,699562.7956503,1.2088445108837185
