# time_fs temperature_K pressure_eV_per_A3 total_energy_eV
0.000000000000000000e+00 8.130475252943639134e+03 2.142689016473783847e-01 6.351716852254230616e+01
1.000000000000000000e+00 8.159138898379660532e+03 2.004435093461180706e-01 6.345302568408433785e+01
2.000000000000000000e+00 8.196151179546428466e+03 1.820223185912143993e-01 6.349288950023355937e+01
3.000000000000000000e+00 8.234684402892975413e+03 1.731746200327582696e-01 6.344092666356976906e+01
4.000000000000000000e+00 8.272200378584233476e+03 1.487702917778447043e-01 6.348492157756416532e+01
5.000000000000000000e+00 8.307394612554215200e+03 1.212721054333925769e-01 6.346490842703030921e+01
6.000000000000000000e+00 8.337306009374535279e+03 9.084255742177209381e-02 6.347680767450256667e+01
7.000000000000000000e+00 8.356719105104482878e+03 5.798748700358745400e-02 6.350464436543475699e+01
8.000000000000000000e+00 8.359872721503998036e+03 2.409626995885193537e-02 6.354050214775537597e+01
9.000000000000000000e+00 8.342954732699565284e+03 -1.857968603895985074e-02 6.351648567823841063e+01
1.000000000000000000e+01 8.305408166730820085e+03 -4.468707953370033847e-02 6.344857635493079329e+01
1.100000000000000000e+01 8.248816918377971888e+03 -6.476677505981884297e-02 6.348456044130793430e+01
1.200000000000000000e+01 8.175024150015620762e+03 -7.849569452027245486e-02 6.349656046600716763e+01
1.300000000000000000e+01 8.086348438662264925e+03 -8.565852535132995049e-02 6.352463416219163150e+01
1.400000000000000000e+01 7.986978267591421172e+03 -9.181252844754968223e-02 6.353673240242673614e+01
1.500000000000000000e+01 7.883245050268928026e+03 -1.000093940016184985e-01 6.353288614130389078e+01
1.600000000000000000e+01 7.782925881371144897e+03 -1.075966038747433462e-01 6.360499480060732935e+01
1.700000000000000000e+01 7.694577304008623287e+03 -1.185326037421803591e-01 6.364914027689434306e+01
1.800000000000000000e+01 7.626830473042507037e+03 -1.297412966797032996e-01 6.362130776450123903e+01
1.900000000000000000e+01 7.586265093401276317e+03 -1.418763024578854615e-01 6.364538664711005822e+01
2.000000000000000000e+01 7.574640118178335797e+03 -1.469454312248043570e-01 6.360929289912368745e+01
2.100000000000000000e+01 7.587911261613432544e+03 -1.474384996570030359e-01 6.358115270767751781e+01
2.200000000000000000e+01 7.618175814996973713e+03 -1.348874894769351851e-01 6.356897749617309046e+01
2.300000000000000000e+01 7.657467430603371213e+03 -1.197033328467017044e-01 6.358485653287664263e+01
2.400000000000000000e+01 7.700702762617768713e+03 -1.002357575072305440e-01 6.357283922454291769e+01
2.500000000000000000e+01 7.746067315545572455e+03 -6.205438905935078270e-02 6.356488798384785355e+01
2.600000000000000000e+01 7.792996850965349040e+03 -3.458642019371983845e-02 6.353689509075235264e+01
2.700000000000000000e+01 7.839142561237355949e+03 -1.233380916282863365e-02 6.355676910538056745e+01
2.800000000000000000e+01 7.878283706390810039e+03 6.200835056339020282e-03 6.357255946166824856e+01
2.900000000000000000e+01 7.901128582754639865e+03 1.641355270434215891e-02 6.356441070077931954e+01
3.000000000000000000e+01 7.898715703047146235e+03 2.618279351672919003e-02 6.354829949378461151e+01
3.100000000000000000e+01 7.866142926567544237e+03 3.626984166503439272e-02 6.352432128024494773e+01
3.200000000000000000e+01 7.804412920575176940e+03 3.960973131164362976e-02 6.352845213866135055e+01
3.300000000000000000e+01 7.720708836278083254e+03 5.245547086402313486e-02 6.358471031958387698e+01
3.400000000000000000e+01 7.628316306532384260e+03 5.573026405569855152e-02 6.356906351410282241e+01
3.500000000000000000e+01 7.545879217654143758e+03 5.604188654998291247e-02 6.361349613389680258e+01
3.600000000000000000e+01 7.494384498605508270e+03 6.386780592416729796e-02 6.362181194669798856e+01
3.700000000000000000e+01 7.490488049712130305e+03 6.452950203518761918e-02 6.361392634530190549e+01
3.800000000000000000e+01 7.538892421891069716e+03 6.571584310314393385e-02 6.358573753077209290e+01
3.900000000000000000e+01 7.630418614039888780e+03 8.673053691078314031e-02 6.355339490823331516e+01
4.000000000000000000e+01 7.747552192057582033e+03 9.143420874641497442e-02 6.357704840856993656e+01
4.100000000000000000e+01 7.872134823432696976e+03 9.639638391596662415e-02 6.356482343591412132e+01
4.200000000000000000e+01 7.989947527887611614e+03 1.015193868632777580e-01 6.354069630830790061e+01
4.300000000000000000e+01 8.092377594516480713e+03 1.065572610930651809e-01 6.356864962315523826e+01
4.400000000000000000e+01 8.176513787889068226e+03 1.156826534700017423e-01 6.355676740418891768e+01
4.500000000000000000e+01 8.244202388966550643e+03 1.201857040904399654e-01 6.356892537200255333e+01
4.600000000000000000e+01 8.300339752390207650e+03 1.233942859798125846e-01 6.361303634683480368e+01
4.700000000000000000e+01 8.350087088827063781e+03 1.192416259589814537e-01 6.359309927966813802e+01
4.800000000000000000e+01 8.395642948689443074e+03 1.182720607760083947e-01 6.352109162537456655e+01
4.900000000000000000e+01 8.434607975544036890e+03 1.139885294648730896e-01 6.352492970307227438e+01
5.000000000000000000e+01 8.461171548545535188e+03 1.097351337300686291e-01 6.358078244343462870e+01
5.100000000000000000e+01 8.469234993138465143e+03 1.025984178228874361e-01 6.365268683575499153e+01
5.200000000000000000e+01 8.455207371362019330e+03 9.315992100082359784e-02 6.366466994252201061e+01
5.300000000000000000e+01 8.419207899717050168e+03 8.240587056289046253e-02 6.358877467278628615e+01
5.400000000000000000e+01 8.364193737464938749e+03 7.127329998816081535e-02 6.359681792760429175e+01
5.500000000000000000e+01 8.293905606919768616e+03 6.203656225537806240e-02 6.360883736275815181e+01
5.600000000000000000e+01 8.211523843572962505e+03 5.543086312764772261e-02 6.360086421844252413e+01
5.700000000000000000e+01 8.120032157559736333e+03 4.756421208183286842e-02 6.359690732674263813e+01
5.800000000000000000e+01 8.023953162044811506e+03 3.848865778729432252e-02 6.360501836905501705e+01
5.900000000000000000e+01 7.930430184009283948e+03 4.041187437912390629e-02 6.360119913899501398e+01
6.000000000000000000e+01 7.848653471228350099e+03 3.032085549862772664e-02 6.358141732063299401e+01
