# time_fs temperature_K pressure_eV_per_A3 total_energy_eV
0.000000000000000000e+00 8.130475252943639134e+03 2.142689016473783847e-01 6.351716852254230616e+01
1.000000000000000000e+00 8.145259204358480929e+03 2.003394220671971537e-01 6.299477749503148516e+01
2.000000000000000000e+00 8.166644732443754947e+03 1.818145551572702134e-01 6.251242841539260553e+01
3.000000000000000000e+00 8.187787634929277374e+03 1.728656805085161674e-01 6.186637016121298416e+01
4.000000000000000000e+00 8.206523972179798875e+03 1.483766518207793039e-01 6.125408191817714965e+01
5.000000000000000000e+00 8.222008488151817801e+03 1.208390780381605051e-01 6.051300226226646828e+01
6.000000000000000000e+00 8.231885451755808390e+03 9.043263477778773485e-02 5.976957321256128353e+01
7.000000000000000000e+00 8.231904981487459736e+03 5.767697207379435947e-02 5.901799383581780489e+01
8.000000000000000000e+00 8.217710650468279709e+03 2.399080232120043635e-02 5.829538800775006280e+01
9.000000000000000000e+00 8.187151521604948357e+03 -1.842450597591883607e-02 5.760997596736854121e+01
1.000000000000000000e+01 8.141220962804116425e+03 -4.428121561054466915e-02 5.700314097111291289e+01
1.100000000000000000e+01 8.082699598328956199e+03 -6.422609075595590855e-02 5.666905539266801384e+01
1.200000000000000000e+01 8.014209410352684245e+03 -7.786798755469072353e-02 5.652472581079678093e+01
1.300000000000000000e+01 7.938417362257915556e+03 -8.491333023819087888e-02 5.665070396689739596e+01
1.400000000000000000e+01 7.859322317415946600e+03 -9.084683782218219705e-02 5.699642259023323732e+01
1.500000000000000000e+01 7.782461703216287788e+03 -9.871420440004757824e-02 5.761513639178596691e+01
1.600000000000000000e+01 7.714222443288964314e+03 -1.058517654993987589e-01 5.851977863007545011e+01
1.700000000000000000e+01 7.661218818961041507e+03 -1.163286456699287458e-01 5.962155348082490036e+01
1.800000000000000000e+01 7.629671764896548666e+03 -1.271499276400412104e-01 6.079005685072854703e+01
1.900000000000000000e+01 7.623581188114339966e+03 -1.390777208765668072e-01 6.206944264522351773e+01
2.000000000000000000e+01 7.642363346604163780e+03 -1.440690276346140997e-01 6.326654120749117283e+01
2.100000000000000000e+01 7.680248542085633744e+03 -1.446789986095940173e-01 6.436383241213076190e+01
2.200000000000000000e+01 7.728393905931939116e+03 -1.326341851888686862e-01 6.534567328675666431e+01
2.300000000000000000e+01 7.778720218642514737e+03 -1.177805067215930979e-01 6.615746475624655432e+01
2.400000000000000000e+01 7.826727191587879133e+03 -9.863711596664044567e-02 6.678539659826662955e+01
2.500000000000000000e+01 7.871663355179115570e+03 -6.104366517879790399e-02 6.725934065850998422e+01
