nx,ny,nz,N,pairs,neighbor_build_mean_s,neighbor_build_min_s,force_mean_s,force_min_s,pair_evaluations_per_second,integrator_mean_s,steps_per_second,atom_steps_per_second,simulated_ns_per_day
3,3,3,108,3571,0.02182792000239715,0.021328500006347895,0.029293960006907583,0.028185400005895644,121902.26241716552,32.628694000002,15.323935429348454,1654.985026369633,0.013239880210957065
4,4,4,256,10001,0.13964685999671927,0.13527840000460856,0.09269142000703141,0.08659600000828505,107895.63909196062,84.99855800000951,5.882452735256333,1505.9079002256212,0.005082439163261471
5,5,5,500,19528,0.4779903800052125,0.47003520000725985,0.16352669999469072,0.1612223999982234,119417.80761572284,166.94142557999004,2.995062479327067,1497.5312396635334,0.0025877339821385862
