# r_A g_r
4.249884375000000603e+00 1.211386493903556349e+00
4.290553125000000634e+00 1.230226037615705037e+00
4.331221875000000665e+00 1.245451025295522651e+00
4.371890625000000696e+00 1.264037774113758061e+00
4.412559375000000728e+00 1.270794875878460628e+00
4.453228125000000759e+00 1.289966098686218920e+00
4.493896875000000790e+00 1.282778600663984303e+00
4.534565625000000821e+00 1.287270553156186548e+00
4.575234374999999964e+00 1.280437725350977551e+00
4.615903124999999996e+00 1.253182551710427139e+00
4.656571875000000027e+00 1.229967467658908520e+00
4.697240625000000058e+00 1.220913342976763127e+00
4.737909375000000090e+00 1.196867882837448160e+00
4.778578125000000121e+00 1.155334589671363599e+00
4.819246875000000152e+00 1.126412789653478130e+00
4.859915625000000183e+00 1.098429524929672052e+00
4.900584375000000215e+00 1.069320338043076912e+00
4.941253125000000246e+00 1.038888273724022371e+00
4.981921875000000277e+00 1.005412136208028828e+00
5.022590625000000308e+00 9.784217521009814789e-01
5.063259375000000340e+00 9.545332635509621300e-01
5.103928125000000371e+00 9.314024653090278161e-01
5.144596875000000402e+00 9.032509876106545876e-01
5.185265625000000433e+00 8.903010293950890386e-01
5.225934375000000465e+00 8.680446719398031696e-01
5.266603125000000496e+00 8.611401424739253407e-01
5.307271875000000527e+00 8.465890063178359570e-01
5.347940625000000558e+00 8.325882484152522522e-01
5.388609375000000590e+00 8.342909712845274495e-01
5.429278125000000621e+00 8.252090250684623873e-01
5.469946875000000652e+00 8.261104014332227852e-01
5.510615625000000684e+00 8.372997191838670306e-01
5.551284375000000715e+00 8.292551146163154030e-01
5.591953125000000746e+00 8.377683874523815799e-01
5.632621875000000777e+00 8.455878258995442875e-01
5.673290625000000809e+00 8.625424843967611777e-01
5.713959375000000840e+00 8.796207022520666774e-01
5.754628125000000871e+00 8.876464372632276723e-01
5.795296875000000902e+00 9.099306697189338822e-01
5.835965625000000934e+00 9.250012089450199149e-01
5.876634375000000077e+00 9.354140064786542474e-01
5.917303125000000108e+00 9.579449609946653066e-01
5.957971875000000139e+00 9.742694898437010975e-01
5.998640625000000171e+00 9.972858181075090478e-01
6.039309375000000202e+00 1.017389315235513791e+00
6.079978125000000233e+00 1.023953760139853619e+00
6.120646875000000264e+00 1.046986923173039097e+00
6.161315625000000296e+00 1.059826838465710352e+00
6.201984375000000327e+00 1.071511699785729466e+00
6.242653125000000358e+00 1.078507528393748860e+00
6.283321875000000389e+00 1.089729463143035870e+00
6.323990625000000421e+00 1.099332516540494575e+00
6.364659375000000452e+00 1.100280227850243708e+00
6.405328125000000483e+00 1.110295664420555051e+00
6.445996875000000514e+00 1.108704095722303551e+00
6.486665625000000546e+00 1.104135823209328127e+00
6.527334375000000577e+00 1.104204049079222871e+00
6.568003125000000608e+00 1.104527071593168319e+00
6.608671875000000639e+00 1.096429278196062285e+00
6.649340625000000671e+00 1.086324423265332184e+00
6.690009375000000702e+00 1.082086421487558736e+00
6.730678125000000733e+00 1.074977971232250251e+00
6.771346875000000765e+00 1.068453193483873687e+00
6.812015625000000796e+00 1.054048797024906392e+00
6.852684375000000827e+00 1.049821060305277554e+00
6.893353125000000858e+00 1.038989817968429152e+00
6.934021875000000890e+00 1.030233591436851670e+00
6.974690625000000921e+00 1.014198535398921130e+00
7.015359375000000952e+00 1.005959311856645000e+00
7.056028125000000983e+00 9.962995081330462410e-01
7.096696875000001015e+00 9.853425055064238824e-01
7.137365625000001046e+00 9.781358131921183974e-01
7.178034375000000189e+00 9.681278382752647182e-01
7.218703125000000220e+00 9.620511609855550983e-01
7.259371875000000252e+00 9.527420090783006446e-01
7.300040625000000283e+00 9.447709396842479679e-01
7.340709375000000314e+00 9.348351020492127184e-01
7.381378125000000345e+00 9.336867640891507447e-01
7.422046875000000377e+00 9.345527839440501694e-01
7.462715625000000408e+00 9.281767494494141957e-01
7.503384375000000439e+00 9.323312120028861560e-01
7.544053125000000470e+00 9.299990391217641816e-01
7.584721875000000502e+00 9.312765525985355897e-01
7.625390625000000533e+00 9.348546554446992563e-01
7.666059375000000564e+00 9.366847282498697025e-01
7.706728125000000595e+00 9.436276090149567919e-01
7.747396875000000627e+00 9.449717035269058485e-01
7.788065625000000658e+00 9.523779680889994381e-01
7.828734375000000689e+00 9.597223041232961771e-01
7.869403125000000720e+00 9.678668950341856592e-01
7.910071875000000752e+00 9.719789426715356173e-01
7.950740625000000783e+00 9.806125318103429134e-01
7.991409375000000814e+00 9.886244032018515204e-01
8.032078125000001734e+00 9.933089555580937313e-01
8.072746874999999989e+00 9.992111520259754354e-01
8.113415625000001796e+00 1.011023520305323720e+00
