# time_fs temperature_K pressure_eV_per_A3 total_energy_eV
0.000000000000000000e+00 2.014149049233637697e+03 9.246387578931930529e-02 -3.795644967678896933e+02
1.000000000000000000e+00 2.003950594751294147e+03 9.138705403186654641e-02 -3.795724961730951463e+02
2.000000000000000000e+00 1.992917647622183267e+03 8.988394950267049321e-02 -3.795725069929364963e+02
3.000000000000000000e+00 1.981103070205799440e+03 8.811247267108390790e-02 -3.795964913714371392e+02
4.000000000000000000e+00 1.968597804872285678e+03 9.137358317679897257e-02 -3.796244757040626041e+02
5.000000000000000000e+00 1.955579794578381097e+03 8.954873476690461409e-02 -3.796404659582204886e+02
6.000000000000000000e+00 1.942291550419779014e+03 9.089289813754618252e-02 -3.796644481657864958e+02
7.000000000000000000e+00 1.929112518260053321e+03 9.306841790272649129e-02 -3.796364627207304352e+02
8.000000000000000000e+00 1.916539454882340806e+03 9.025883975041176788e-02 -3.796404492125970478e+02
9.000000000000000000e+00 1.905173441611702629e+03 8.503715092481572979e-02 -3.796204538559230741e+02
1.000000000000000000e+01 1.895669906906669439e+03 8.451714057733931973e-02 -3.796284397335535914e+02
1.100000000000000000e+01 1.888675435049559383e+03 8.018710431231604319e-02 -3.796324300977022972e+02
1.200000000000000000e+01 1.884695687682685730e+03 7.945183467703162417e-02 -3.796644110630979867e+02
1.300000000000000000e+01 1.884013214297881404e+03 7.458405168174005173e-02 -3.796644035622913407e+02
1.400000000000000000e+01 1.886657955166370812e+03 7.453653630885606618e-02 -3.796484058396184764e+02
1.500000000000000000e+01 1.892410446184257125e+03 7.417977582926739422e-02 -3.796444290445334104e+02
1.600000000000000000e+01 1.900843749139942929e+03 7.778660060147188360e-02 -3.796684170049305180e+02
1.700000000000000000e+01 1.911413626270311397e+03 7.738056098750700773e-02 -3.796324610759679103e+02
1.800000000000000000e+01 1.923564682505031669e+03 7.126909828999672403e-02 -3.796164796400104251e+02
1.900000000000000000e+01 1.936802151616811216e+03 7.385889802169171015e-02 -3.796524614642759161e+02
2.000000000000000000e+01 1.950748593974500636e+03 7.285771724123873971e-02 -3.796164748814198902e+02
2.100000000000000000e+01 1.965114609531648966e+03 7.166453810826070581e-02 -3.796764440055293903e+02
2.200000000000000000e+01 1.979684739354020167e+03 7.200739722398313836e-02 -3.796964441154802898e+02
2.300000000000000000e+01 1.994336286192082071e+03 7.222944035746488300e-02 -3.797444174200702491e+02
2.400000000000000000e+01 2.008964010967347349e+03 7.428382002261209316e-02 -3.797204372541333441e+02
2.500000000000000000e+01 2.023461833292226856e+03 7.561356842877682560e-02 -3.796964501511394587e+02
2.600000000000000000e+01 2.037710459731120409e+03 7.877820988320152762e-02 -3.796804555065821773e+02
2.700000000000000000e+01 2.051551825716876465e+03 8.224288152213603265e-02 -3.796404641942214653e+02
2.800000000000000000e+01 2.064767519088685276e+03 8.317400776165934095e-02 -3.796764475062152542e+02
2.900000000000000000e+01 2.077085692698307412e+03 8.393282598284268481e-02 -3.797244228617879571e+02
3.000000000000000000e+01 2.088209680633156040e+03 8.433635013488395560e-02 -3.796964552609290990e+02
3.100000000000000000e+01 2.097782463043054577e+03 8.265283915371104961e-02 -3.796924659793465366e+02
3.200000000000000000e+01 2.105454682180087730e+03 8.035561736410677669e-02 -3.796924752669063992e+02
3.300000000000000000e+01 2.110921257082741249e+03 7.792674154702528000e-02 -3.796605001019735823e+02
3.400000000000000000e+01 2.113937158916941826e+03 7.928180235569579071e-02 -3.796445166517757457e+02
3.500000000000000000e+01 2.114382702014661390e+03 7.546335823992857128e-02 -3.796564927860698617e+02
3.600000000000000000e+01 2.112269693324840773e+03 7.641460183699926023e-02 -3.796165079986114392e+02
3.700000000000000000e+01 2.107702870210790024e+03 7.650873533631505352e-02 -3.795925151106894759e+02
3.800000000000000000e+01 2.100904904495097526e+03 7.812181279036352344e-02 -3.796404856857221262e+02
3.900000000000000000e+01 2.092138687058222786e+03 8.032059981663561277e-02 -3.796444751759891005e+02
